plant_name_id|ipni_id|taxon_rank|taxon_status|family|genus_hybrid|genus|species_hybrid|species|infraspecific_rank|infraspecies|parenthetical_author|primary_author|publication_author|place_of_publication|volume_and_page|first_published|nomenclatural_remarks|geographic_area|lifeform_description|climate_description|taxon_name|taxon_authors|accepted_plant_name_id|basionym_plant_name_id|homotypic_synonym
615351-az|1738-2|Species|Synonym|Acanthaceae||Acelica||trimerocalyx||||Rizzini||Leandra|5(6): 36|(1975)|||||Acelica trimerocalyx|Rizzini|330985-az||
615347-az|295940-2|Genus|Synonym|Acanthaceae||Acelica||||||Rizzini||Arch. Jard. Bot. Rio de Janeiro|9: 55|(1949)|||||Acelica|Rizzini|330441-az||
617796-az|44936-1|Species|Accepted|Acanthaceae||Achyrocalyx||decaryi||||Benoist||Bull. Soc. Bot. France|76: 1037|(1929 publ. 1930)||Madagascar||Seasonally Dry Tropical|Achyrocalyx decaryi|Benoist|617796-az||
617797-az|44937-1|Species|Accepted|Acanthaceae||Achyrocalyx||gossypinus||||Benoist||Notul. Syst. (Paris)|8: 154|(1939)||Madagascar||Seasonally Dry Tropical|Achyrocalyx gossypinus|Benoist|617797-az||
617798-az|44938-1|Species|Accepted|Acanthaceae||Achyrocalyx||pungens||||Benoist||Notul. Syst. (Paris)|12: 11|(1945)||Madagascar||Seasonally Dry Tropical|Achyrocalyx pungens|Benoist|617798-az||
617799-az|44939-1|Species|Accepted|Acanthaceae||Achyrocalyx||vicinus||||Benoist||Notul. Syst. (Paris)|8: 153|(1939)||Madagascar||Seasonally Dry Tropical|Achyrocalyx vicinus|Benoist|617799-az||
617795-az|346-1|Genus|Accepted|Acanthaceae||Achyrocalyx||||||Benoist||Bull. Soc. Bot. France|76: 1036|(1929 publ. 1930)||Madagascar||Seasonally Dry Tropical|Achyrocalyx|Benoist|617795-az||
621162-az|347-1|Genus|Illegitimate|Acanthaceae||Adatoda||||||Raf.||Fl. Tellur.|4: 60|(1838)|, nom. superfl.||||Adatoda|Raf.|330441-az|622393-az|
621164-az|435473-1|Species|Unplaced|Acanthaceae||Adelaida||borbonica||||Buc'hoz||Herb. Color. Amérique|: t. 74|(1783)||Réunion|||Adelaida borbonica|Buc'hoz|||
621163-az|19963-1|Genus|Unplaced|Acanthaceae||Adelaida||||||Buc'hoz||Herb. Color. Amérique|: t. 74|(1783)|||||Adelaida|Buc'hoz|||
621169-az|4180-2|Species|Synonym|Acanthaceae||Adelaster||albivenis||||Lindl. ex Veitch||Gard. Chron.|1861: 499|(1861)|||||Adelaster albivenis|Lindl. ex Veitch|813190-az||T
615307-az|44927-1|Species|Synonym|Acanthaceae||Acanthus||ugandensis||||C.B.Clarke||J. Linn. Soc., Bot.|37: 527|(1906)||Trop. Africa||Seasonally Dry Tropical|Acanthus ugandensis|C.B.Clarke|615286-az||
615309-az||Variety|Synonym|Acanthaceae||Acanthus||vandermeirenii|var.|violaceopunctatus||De Wild.||Pl. Bequaert.|4: 27|(1926)||Zaïre||Wet Tropical|Acanthus vandermeirenii var. violaceopunctatus|De Wild.|615305-az||
615308-az|44928-1|Species|Synonym|Acanthaceae||Acanthus||vandermeirenii||||De Wild.||Bull. Jard. Bot. État Bruxelles|4: 428|(1914)||Zaïre||Wet Tropical|Acanthus vandermeirenii|De Wild.|615305-az||
615310-az|44930-1|Species|Accepted|Acanthaceae||Acanthus||villaeanus||||De Wild.||Ann. Mus. Congo Belge, Bot.|, sér. 4, 1: 148|(1903)||DR Congo||Seasonally Dry Tropical|Acanthus villaeanus|De Wild.|615310-az||
615311-az|44931-1|Species|Accepted|Acanthaceae||Acanthus||volubilis||||Wall.||Pl. Asiat. Rar.|2: 56|(1831)||Bangladesh to W. Malesia|Climber|Wet Tropical|Acanthus volubilis|Wall.|615311-az||
615312-az|1006050-1|Species|Synonym|Acanthaceae||Acanthus||xiamenensis||||R.T.Zhang||Wuyi Sci. J.|5: 239|(1985)||China (Guangxi, Fujian)|Nanophanerophyte|Subtropical|Acanthus xiamenensis|R.T.Zhang|615257-az||
615207-az|344-1|Genus|Accepted|Acanthaceae||Acanthus||||||L.||Sp. Pl.|: 639|(1753)||SC. & SE. Europe to N. Australia and Africa|||Acanthus|L.|615207-az||
615348-az|1735-2|Species|Synonym|Acanthaceae||Acelica||cydoniifolia|||Nees|Rizzini||Arch. Jard. Bot. Rio de Janeiro|9: 55|(1949)|||||Acelica cydoniifolia|(Nees) Rizzini|330985-az|622431-az|T
615349-az|1736-2|Species|Synonym|Acanthaceae||Acelica||holosericea|||Nees|Rizzini||Arch. Jard. Bot. Rio de Janeiro|9: 194|(1949)|||||Acelica holosericea|(Nees) Rizzini|622457-az|622457-az|T
615350-az|1737-2|Species|Synonym|Acanthaceae||Acelica||scandens||||Rizzini||Dusenia|1: 292|(1950)|||||Acelica scandens|Rizzini|333050-az||
621168-az|349-1|Genus|Synonym|Acanthaceae||Adelaster||||||Lindl. ex Veitch||Gard. Chron.|1861: 499|(1861)|||||Adelaster|Lindl. ex Veitch|813189-az||
621181-az|44945-1|Species|Synonym|Acanthaceae||Adeloda||brachiata|||Spreng.|Raf.||Autik. Bot.|: 32|(1840)|||||Adeloda brachiata|(Spreng.) Raf.|766457-az|766457-az|T
621182-az|44946-1|Species|Synonym|Acanthaceae||Adeloda||integra||||Raf.||Fl. Tellur.|4: 61|(1838)|||||Adeloda integra|Raf.|766722-az||
621183-az|44947-1|Species|Synonym|Acanthaceae||Adeloda||serrata||||Raf.||Fl. Tellur.|4: 61|(1838)|||||Adeloda serrata|Raf.|330223-az||
621184-az|44948-1|Species|Unplaced|Acanthaceae||Adeloda||verticillata||||Raf.||Autik. Bot.|: 32|(1840)||Arkansas to Texas|||Adeloda verticillata|Raf.|||
1004598-az|350-1|Genus|Synonym|Acanthaceae||Adeloda||||||Raf.||Fl. Tellur.|4: 61|(1838)|||||Adeloda|Raf.|330441-az||
621195-az|44949-1|Species|Synonym|Acanthaceae||Adenacanthus||acuminatus||||Nees|N.Wallich|Pl. Asiat. Rar.|3: 75|(1832)|||||Adenacanthus acuminatus|Nees|476823-az||
621196-az|44950-1|Species|Synonym|Acanthaceae||Adenacanthus||glandulosus|||Blume|Bremek.||Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2|, 41(1): 187|(1944)|||||Adenacanthus glandulosus|(Blume) Bremek.|477128-az|477128-az|T
621197-az|44951-1|Species|Unplaced|Acanthaceae||Adenacanthus||latifolia||||Nees|A.P.de Candolle|Prodr.|11: 197|(1847)|||||Adenacanthus latifolia|Nees|||
621198-az|20007841-1|Species|Synonym|Acanthaceae||Adenacanthus||longispicus||||H.P.Tsui||Fl. Reipubl. Popularis Sin.|70: 348|(2002)||China (Yunnan)|||Adenacanthus longispicus|H.P.Tsui|476711-az||T
621199-az|44952-1|Species|Synonym|Acanthaceae||Adenacanthus||repandus|||Blume|Bremek.||Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2|, 41(1): 196|(1944)|||||Adenacanthus repandus|(Blume) Bremek.|476823-az|342197-az|T
621200-az|44953-1|Species|Synonym|Acanthaceae||Adenacanthus||rubroglandulosus|||Craib|Bremek.||Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2|, 41(1): 198|(1944)|||||Adenacanthus rubroglandulosus|(Craib) Bremek.|476823-az|476862-az|
621194-az|351-1|Genus|Synonym|Acanthaceae||Adenacanthus||||||Nees|N.Wallich|Pl. Asiat. Rar.|3: 75|(1832)|||||Adenacanthus|Nees|478629-az||
621870-az|44954-1|Species|Synonym|Acanthaceae||Adenosma||affinis||||Griff.||Not. Pl. Asiat.|4: 133|(1854)|||||Adenosma affinis|Griff.|932637-az||T
621871-az|44955-1|Species|Synonym|Acanthaceae||Adenosma||africana||||T.Anderson||J. Proc. Linn. Soc., Bot.|7: 21|(1863)|||||Adenosma africana|T.Anderson|856657-az||T
621873-az|44957-1|Species|Synonym|Acanthaceae||Adenosma||balsamea||||Spreng.||Syst. Veg.|2: 829|(1825)|||||Adenosma balsamea|Spreng.|856667-az||
621875-az|44958-1|Species|Synonym|Acanthaceae||Adenosma||biplicata||||Nees|N.Wallich|Pl. Asiat. Rar.|3: 79|(1832)|||||Adenosma biplicata|Nees|856674-az||T
621881-az|798424-1|Species|Synonym|Acanthaceae||Adenosma||chenopodiifolia|||Poir.|Spreng.||Syst. Veg.|2: 829|(1825)||Society Is.|Therophyte|Wet Tropical|Adenosma chenopodiifolia|(Poir.) Spreng.|342033-az|421796-az|
621885-az|44959-1|Species|Synonym|Acanthaceae||Adenosma||elongata||||Blume||Bijdr. Fl. Ned. Ind.|: 757|(1826)|||||Adenosma elongata|Blume|477749-az||
621887-az|798430-1|Species|Unplaced|Acanthaceae||Adenosma||fragrans||||Spreng.||Syst. Veg.|2: 829|(1825)||Society Is.|Therophyte|Wet Tropical|Adenosma fragrans|Spreng.|||
621891-az|44960-1|Species|Synonym|Acanthaceae||Adenosma||griffithii||||T.Anderson||J. Linn. Soc., Bot.|9: 454|(1867)|||||Adenosma griffithii|T.Anderson|856712-az||T
621896-az|44961-1|Species|Synonym|Acanthaceae||Adenosma||lanceolata||||Blume||Bijdr. Fl. Ned. Ind.|: 757|(1826)|||||Adenosma lanceolata|Blume|478509-az||T
621904-az|44962-1|Species|Synonym|Acanthaceae||Adenosma||pinnatifida|||Dalzell|T.Anderson||J. Linn. Soc., Bot.|9: 455|(1867)|||||Adenosma pinnatifida|(Dalzell) T.Anderson|856773-az|380102-az|T
